M,CdX,Doping Site,?H(Cd-rich),?H(Mod),?H(Te-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Descriptors -->,Period,Group,Site,Delta Ion. Rad.,Delta At. Wt.,Delta Cov. Rad.,Delta Ion. En.,Delta At. Rad.,Delta EA,Delta EN,Delta At. Num.,Delta Val.,# Cd Neighbors,# Te Neighbors,Corrected VBM (eV),Corrected CBM (eV),?H(Cd-rich),?H(Mod),?H(Te-rich)
Se,CdTe,M_Te,0.226,0.226,0.226,-0.818,-0.548,-0.232,1.456,1.917,2.330,,,4,16,1,-0.47,-48.64,-0.2,71.7,-0.2,4.81,0.45,-18,0,4,0,1.538,2.498,0.286,0.287,0.287
Te,CdTe,M_Te,0.000,0.000,0.000,-0.791,-0.517,-0.197,1.528,1.992,2.370,,,5,16,1,0,0,0,0,0,0,0,0,0,4,0,1.821,2.992,0.000,0.000,0.000
F,CdTe,M_Te,1.758,1.995,2.233,-0.848,-0.549,0.796,1.056,1.790,2.094,,,2,17,1,0.36,-108.6016,-0.64,811.8,-0.88,137.85,1.88,-43,-5,4,0,2.602,2.587,1.743,1.981,2.218
Cl,CdTe,M_Te,1.066,1.303,1.540,-0.787,-0.488,1.165,1.615,2.037,2.457,,,3,17,1,0.84,-92.1473,-0.37,381.9,-0.61,158.65,1.06,-35,1,4,0,3.356,3.341,1.092,1.329,1.567
Br,CdTe,M_Te,0.935,1.172,1.410,-0.766,-0.471,1.217,1.667,2.080,2.500,,,4,17,1,0.99,-47.696,-0.22,270.7,-0.46,134.45,0.86,-17,1,4,0,3.532,3.517,1.034,1.271,1.508
I,CdTe,M_Te,0.841,1.078,1.315,-0.755,-0.450,1.259,1.729,2.123,2.601,,,5,17,1,1.23,-0.6955,-0.03,139.2,-0.27,105.15,0.56,1,1,4,0,3.842,3.827,1.167,1.404,1.642
Sc,CdTe,M_Te,5.248,6.434,7.620,-0.412,-0.025,0.504,1.195,1.635,1.926,,,4,3,1,-0.22,-82.6441,0.08,-238.2,0.006,-172.05,-0.74,-31,-3,4,0,2.810,2.795,5.022,6.207,7.394
Ti,CdTe,M_Te,5.030,6.230,7.655,-0.605,-0.192,0.762,1.167,1.373,2.131,,,4,4,1,-0.36,-79.72,-0.04,-211.2,-0.152,-170.15,-0.56,-30,-2,4,0,2.708,2.693,4.658,5.858,7.282
V,CdTe,M_Te,4.232,5.184,6.523,-0.651,-0.162,0.279,1.252,1.708,2.008,,,4,5,1,-0.43,-76.6585,-0.14,-219.2,-0.279,-140.15,-0.47,-29,-1,4,0,2.561,2.546,4.121,5.073,6.412
Cr,CdTe,M_Te,3.412,4.525,5.765,-0.685,-0.120,0.886,1.284,1.564,2.025,,,4,6,1,-0.35,-75.604,-0.18,-216.4,-0.351,-126.15,-0.44,-28,0,4,0,2.719,2.704,2.995,4.109,5.349
Mn,CdTe,M_Te,3.194,4.142,5.280,-0.690,0.081,0.587,0.957,1.551,2.086,,,4,7,1,-0.3,-72.662,-0.19,-151.8,-0.36,-190.15,-0.55,-27,1,4,0,2.672,2.657,2.813,3.761,4.899
Fe,CdTe,M_Te,3.136,4.084,5.465,-0.750,-0.438,0.111,1.172,1.632,2.872,,,4,8,1,-0.42,-71.753,-0.19,-109.9,-0.359,-166.15,-0.27,-26,0,4,0,2.239,2.224,3.136,4.084,5.465
Co,CdTe,M_Te,3.081,4.035,5.460,-0.874,-0.517,0.383,0.920,1.562,2.060,,,4,9,1,-0.32,-68.6668,-0.2,-111.2,-0.347,-120.15,-0.22,-25,-3,4,0,2.391,2.376,3.060,4.015,5.440
Ni,CdTe,M_Te,3.228,3.445,4.610,-0.838,-0.573,-0.227,1.206,1.574,2.060,,,4,10,1,-0.28,-68.9066,-0.21,-132.5,-0.354,-79.15,-0.19,-24,-3,4,0,1.772,2.252,3.299,3.516,4.682
Cu,CdTe,M_Te,3.371,3.284,4.039,-0.824,-0.528,0.846,1.160,1.580,1.939,,,4,11,1,-0.24,-64.144,-0.19,-123.8,-0.322,-71.85,-0.2,-23,-4,4,0,2.391,2.376,3.008,2.921,3.676
Zn,CdTe,M_Te,2.565,3.513,4.463,-0.683,0.711,0.771,1.022,1.394,1.881,,,4,12,1,-0.23,-62.21,-0.11,37.2,-0.268,-190.15,-0.45,-22,-4,4,0,2.857,2.842,1.859,2.807,3.757
Y,CdTe,M_Te,5.302,6.523,8.189,-0.182,0.282,0.708,1.306,1.766,2.064,,,5,3,1,0.05,-38.6941,0.26,-253.2,0.21,-190.15,-0.88,-13,-3,4,0,3.134,3.119,5.041,6.263,7.928
Zr,CdTe,M_Te,5.953,7.111,8.923,-0.571,-0.168,0.719,1.054,1.387,2.151,,,5,4,1,-0.13,-36.376,0.09,-209.2,0,-140.15,-0.77,-12,-2,4,0,2.717,2.702,5.606,6.764,8.576
